Nome,PRATO,DESC_PRATO,NOME_LOGRADOURO,NUMERO_IMOVEL,NOME_BAIRRO
Alexandre’s Bar,O fabuloso discão,Polpetone com recheio de muçarela acompanhada com caponata de berinjela e abobrinha.,DAVID ALVES DO VALE,68,SANTA ROSA
Amarelim do Prado,Trem de roças,"Bochecha de porco na cama de angu mole, pesto de horta, mandioca e agrião. Acompanha pão e patê de fígado de galinha.",FRANCISCO SA,658,PRADO
Andrade’s Beer,Chora canelinha,"Ossobuco com purê de batatas, acompanhado de torradas de alho-poró.",DONA GENI,32,MARIA HELENA
Arcos Bar,Panela da Diversidade,"Acém cozido com ervas finas, acompanhado com batata rústica.",DA BAHIA,1144,CENTRO
Armazém Santa Amélia,Segredo do Armazém,"Polenta cremosa com ragu de carnes cheio de sabor, agrião fresco, crispy de parmesão e um toque secreto para abrilhantar as Bodas de Prata do Comida di Buteco.",DA SINFONIA,253,SANTA AMELIA
Avalanche Espeteria,Milão Maluco,"Ossobuco cozido ao molho tradicional, acompanhado com purê de batata e farofinha da casa.",DOUTOR ALVARO CAMARGOS,1113,SAO JOAO BATISTA
Azougue Fogo e Bar,Língua da vovó Virinha,"Língua de boi assada, sobre creme de batata e milho com vinagrete mineiro e redução do caldo da própria língua com cerveja.",DO OURO,835,SERRA
Baiúca,Canelada Suína,"Panturrilha suína, mandioca cozida com queijo e manteiga, cebola assada e crispy de couve.",PIAUI,1884,SAVASSI
Bar e Restaurante Bom Sabor,Bora Comemorar,"Fraldinha de boi recheada com carne moída de porco, bacon e muçarela, assado na churrasqueira. Acompanhado de farofa e vinagrete.",JAVA,386,NOVA SUISSA
Bar Bambú,Camarão que dorme?,Batata recheada com strogonoff de camarão.,DIVISA NOVA,670,SALGADO FILHO
Bar Bendita Baderna,PARABÉNS CDB,"coxinhas recheadas para todos os gostos, massa de abóbora com recheio de frango com quiabo, massa de mandioca com recheio de carne de lata (suína) e massa de beterraba com recheio de alho-poró com queijo canastra.",SILVA FORTES,47,UNIAO
Bar da Cintia,Língua bêbada,"Língua marinada na cerveja Caracu, cheiro-verde, mandioca cozida na manteiga de garrafa.",PASTOR RUI FRANCO,257,SAO JOAO BATISTA
Bar da Fia,Língua no rabo,"Língua bovina com rabada, servida com polenta, quiabo frito e agrião.",DOS ASTECAS,2722,SANTA MONICA
Bar da Lu,Barril Mineiro Sô,"Ossobuco marinado com ervas finas e vinho tinto, acompanhado de polenta coberta com queijo parmesão e muçarela gratinada, crispy de mostarda e torresminho pururuca.",GERALDA MARINHO,41,SAO JOAO BATISTA
Bar da Silvana,"Ô trem bão, sô",Maçã de peito com mandioquinha e torradas de pão francês.,SOARES NOGUEIRA,801,CAMARGOS
Bar do Bartolomeu,"Bem Bolado, Uai!!",Bolinho de rabada com catupiry e alho-poró. Acompanhado com molho da casa e molho de geleia de pimenta.,ARTHUR LUCHESI,356,SANTA HELENA
Bar do Bem,A Furiosa,"Miolo de acém cozido na cerveja e tempero da casa, servido com torradas feitas na manteiga e ervas, pão de queijo assado e pastel de vento.",VICENTEINA COUTINHO CAMARGOS,100,ALVARO CAMARGOS
Bar do Kim,Músculo à moda do Kim,"Músculo bovino acompanhado de champignon, acompanhado de torradas.",JULIO DE CASTILHO,1071,PARQUE SAO JOSE
Bar do Nelson,Bolinho de prata,Bolinho de feijoada na cama de couve crispy.,VICENTE RISOLA,1000,SANTA INES
Bar do Primo,Custelinha di Buteco,Costelinha com batata e queijo ao molho branco.,AMAZONAS,4649,NOVA SUISSA
